Dictionary,Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
Human_subject_dictionary,studyid,initial_screening,,text,Numero de identificacion,,,,,,,,,,,,,
Human_subject_dictionary,isstarttime,initial_screening,,text,Hora de inicio             ,,Hora Militar (hh:mm) (1:00pm = 13:00),time,12:01:00 AM,11:59:00 PM,,,,,,,,
Human_subject_dictionary,isdate,initial_screening,,text,Fecha del cernimiento,,MM-DD-YYYY,date_mdy,,,,,,,,,,
Human_subject_dictionary,interviewer,initial_screening,,radio,�Quien hace la entrevista?,"1, Camille Rivera | 2, Dalitza Ram�n | 3, Liza Anzalota | 4, Marilyn Alicea | 5, Janisse Cabrera | 6, Abigail Figueroa| 7, Another Interviewer",,,,,,,,,,,,
Human_subject_dictionary,isotherinterviewer,initial_screening,,text,Nombre del Entrevistador,,,,,,,[interviewer]='7',,,,,,
Human_subject_dictionary,interest,initial_screening,,radio,�Le Interesar�a saber m�s sobre este estudio y considerar�a participar?,"1, S�  | 0, No",,,,,,,,,,,,
Human_subject_dictionary,nonpartage,initial_screening,,text,Edad del No-Participante,,Hasta 2 d�gitos,number,18,40,,[interest] = '0',y,,,,,
Human_subject_dictionary,nonpartcity,initial_screening,,text,Ciudad del No-Participante,,35 Letras,,,,,[interest] = '0',,,,,,
Human_subject_dictionary,isfirstname,initial_screening,,text,Primer Nombre,,35 Letras,,,,y,[interest] = '1',y,,,,,
Human_subject_dictionary,ismidname,initial_screening,,text,Segundo Nombre,,35 Letras,,,,y,[interest] = '1',y,,,,,
Human_subject_dictionary,islastname,initial_screening,,text,Apellido Paterno,,35 Letras,,,,y,[interest] = '1',y,,,,,
Human_subject_dictionary,is2lastname,initial_screening,,text,Apellido Materno,,35 Letras,,,,y,[interest] = '1',y,,,,,
Human_subject_dictionary,isage,initial_screening,,text,�Que edad tiene actualmente?,,Edad en a�os,,,,,[interest] = '1',y,,,,,
Human_subject_dictionary,hospital,initial_screening,,radio,�En que Hospital planea dar a luz a su bebe? ,"1, Hospital Universitario, San Juan | 2, Manat� Medical Center, Manat� | 3, Hospital Cayetano Coll y Toste, Arecibo | 4, Doctor's Hospital, Manat� | 97, Otro",,,,,,[interest] = '1',,,,,,
Human_subject_dictionary,hospital97,initial_screening,,text,"Por favor, especifique la ubicaci�n del otro hospital.",,35 Letras,,,,,[hospital]='97' and [interest] = '1',,,,,,
Human_subject_dictionary,municipality,initial_screening,,text,�Municipio en el que vive usted?,,35 Letras (Pueblo),,,,,[interest] = '1',,,,,,
Human_subject_dictionary,islmprecall,initial_screening,SECCI�N A,radio,�Se acuerda usted de la fecha de su �ltima menstruaci�n?                               ,"1, S� | 0, No",,,,,,[interest] = '1',,,,,,
Human_subject_dictionary,islmpdate,initial_screening,,text,"Si contesta S�, por favor ingrese la fecha ",,MM-DD-YYYY,date_mdy,,,,[islmprecall]='1' and [interest] = '1',,,,,,
Human_subject_dictionary,lmpgestagew,initial_screening,,text,Edad gestacional estimada por un profesional de la salud en base a la fecha de la ultima menstruaci�n (Semanas),,Semanas,number,4,42,,[interest] = '1',y,,,,,
Human_subject_dictionary,lmpgestaged,initial_screening,,text,Edad gestacional estimada por un profesional de la salud en base a la fecha de la �ltima menstruaci�n (Dias),,Dias,number,0,7,,[interest] = '1',,,,,,
Human_subject_dictionary,lmpduedate,initial_screening,,text,Fecha estimada para el parto,,MM-DD-YYYY,date_mdy,,,,[interest] = '1',,,,,,
Human_subject_dictionary,ultrasound,initial_screening,,radio,�Ha recibido un ultrasonido para estimar la edad gestacional?,"1, S� | 0, No",,,,,,[interest] = '1',,,,,,
Human_subject_dictionary,ultradate,initial_screening,,text,"Si contesta S�, por favor ingrese la fecha en que se realiz� el ultrasonido",,MM-DD-YYYY,date_mdy,,,,[ultrasound]='1' and [interest] = '1',,,,,,
Human_subject_dictionary,ultragestagew,initial_screening,,text,�Cu�l fue la edad gestacional estimada por este ultrasonido? (Semanas),,Semanas,number,4,42,,[ultrasound]='1' and [interest] = '1',,,,,,
Human_subject_dictionary,ultragestaged,initial_screening,,text,�Cu�l fue la edad gestacional estimada por este ultrasonido? (Dias),,Dias,number,0,7,,[ultrasound]='1' and [interest] = '1',,,,,,
