Type,Section_header,Form_Name,Analyte_Name,Visit_ID,Variable / Field Name,Field Type,Field Label,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,analysis_source,text,Source of the Data,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,analysis_method,text,Method of Analysis ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,notes,text,Notes,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,batch,Integer,Batch Number  ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,1,sample_type,text,Sample Matrix,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,analysis_source,text,Source of the Data,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,analysis_method,text,Method of Analysis ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,notes,text,Notes,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,batch,Integer,Batch Number  ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,2,sample_type,text,Sample Matrix,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,analysis_source,text,Source of the Data,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,analysis_method,text,Method of Analysis ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,notes,text,Notes,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,batch,Integer,Batch Number  ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,3,sample_type,text,Sample Matrix,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,analysis_source,text,Source of the Data,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,analysis_method,text,Method of Analysis ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,notes,text,Notes,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,batch,Integer,Batch Number  ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Aminomethylphosphoric Acid,4,sample_type,text,Sample Matrix,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,analysis_source,text,Source of the Data,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,analysis_method,text,Method of Analysis ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,notes,text,Notes,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,batch,Integer,Batch Number  ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,1,sample_type,text,Sample Matrix,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,analysis_source,text,Source of the Data,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,analysis_method,text,Method of Analysis ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,notes,text,Notes,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,batch,Integer,Batch Number  ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,2,sample_type,text,Sample Matrix,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,analysis_source,text,Source of the Data,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,analysis_method,text,Method of Analysis ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,notes,text,Notes,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,batch,Integer,Batch Number  ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,3,sample_type,text,Sample Matrix,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,4,conc,Decimal,Analyte concentration ,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,4,concunits,text,Analyte concentration units,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,4,BLOD,Integer,Below Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,4,LOD,Decimal,Limit of Detection,,,,,,,,,,,,,
Biological Data,biological_all,Glyphosate,Glyphosate,4,date_analyzed,,Date of Analysis,,,,,,,,,,,,,
