Variable / Field Name,Form Name,Section Header,Field Type,Field Label,Choices Calculations OR Slider Labels,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Type,VisitID,VisitIDNum
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4.0
studyid,biological_all,Phthalates,text,Participant ID,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
conc,biological_all,Phthalates,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
concunits,biological_all,Phthalates,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
BLOD,biological_all,Phthalates,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
LOD,biological_all,Phthalates,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analyte,biological_all,Phthalates,text,Analyte Name,"MIBP, MCOCH, MEHP, MEOHP, MCNP, MONP, MCPP, MNP, MCOP, MEHHTP, MBZP, MEP, MBP, MHBP, MECPTP, MEHHP, MHINCH, MHIBP, MECPP",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analyte_full,biological_all,Phthalates,text,Full Analyte Name,"Mono-isobutyl phthalate, mono-2-ethyl-5-hydrohexyl terephthalate, Mono carboxyisononyl phthalate, Monoethyl phthalate, Mono-3-carboxypropyl phthalate, Monooxononyl phthalate, 
Mono-2-ethyl-5-carboxypentyl phthalate, Mono-isononyl phthalate, Monobenzyl phthalate, Mono-hydroxybutyl phthalate, Mono-n-butyl phthalate, Mono-2-ethylhexyl phthalate, Mono-2-ethyl-5-oxohexyl phthalate, Mono-hydroxyisobutyl phthalate, Mono-2-ethyl-5-hydroxyhexyl phthalate, cyclohexane-1 2-dicarboxylic acid monocarboxyisooctyl ester, mono-2-ethyl-5-carboxypentyl terephthalate, Cyclohexane-1 2-dicarboxylic acid monohydroxy isononyl ester, Mono carboxyisooctyl phthalate",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
date_analyzed,biological_all,Phthalates,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analysis_source,biological_all,Phthalates,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
analysis_method,biological_all,Phthalates,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
notes,biological_all,Phthalates,text,Notes,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
batch,biological_all,Phthalates,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
sample_type,biological_all,Phthalates,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1.0
studyid,biological_all,Phthalates,text,Participant ID,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
conc,biological_all,Phthalates,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
concunits,biological_all,Phthalates,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
BLOD,biological_all,Phthalates,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
LOD,biological_all,Phthalates,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analyte,biological_all,Phthalates,text,Analyte Name,"MIBP, MCOCH, MEHP, MEOHP, MCNP, MONP, MCPP, MNP, MCOP, MEHHTP, MBZP, MEP, MBP, MHBP, MECPTP, MEHHP, MHINCH, MHIBP, MECPP",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analyte_full,biological_all,Phthalates,text,Full Analyte Name,"Mono-isobutyl phthalate, mono-2-ethyl-5-hydrohexyl terephthalate, Mono carboxyisononyl phthalate, Monoethyl phthalate, Mono-3-carboxypropyl phthalate, Monooxononyl phthalate, 
Mono-2-ethyl-5-carboxypentyl phthalate, Mono-isononyl phthalate, Monobenzyl phthalate, Mono-hydroxybutyl phthalate, Mono-n-butyl phthalate, Mono-2-ethylhexyl phthalate, Mono-2-ethyl-5-oxohexyl phthalate, Mono-hydroxyisobutyl phthalate, Mono-2-ethyl-5-hydroxyhexyl phthalate, cyclohexane-1 2-dicarboxylic acid monocarboxyisooctyl ester, mono-2-ethyl-5-carboxypentyl terephthalate, Cyclohexane-1 2-dicarboxylic acid monohydroxy isononyl ester, Mono carboxyisooctyl phthalate",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
date_analyzed,biological_all,Phthalates,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analysis_source,biological_all,Phthalates,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
analysis_method,biological_all,Phthalates,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
notes,biological_all,Phthalates,text,Notes,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
batch,biological_all,Phthalates,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
sample_type,biological_all,Phthalates,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2.0
studyid,biological_all,Phthalates,text,Participant ID,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
conc,biological_all,Phthalates,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
concunits,biological_all,Phthalates,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
BLOD,biological_all,Phthalates,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
LOD,biological_all,Phthalates,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
analyte,biological_all,Phthalates,text,Analyte Name,"MIBP, MCOCH, MEHP, MEOHP, MCNP, MONP, MCPP, MNP, MCOP, MEHHTP, MBZP, MEP, MBP, MHBP, MECPTP, MEHHP, MHINCH, MHIBP, MECPP",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3.0
