Variable / Field Name,Form Name,Section Header,Field Type,Field Label,Choices Calculations OR Slider Labels,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Type,VisitID,VisitIDNum
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
studyid,biological_all,Phenols,text,Participant ID,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
conc,biological_all,Phenols,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
concunits,biological_all,Phenols,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
BLOD,biological_all,Phenols,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
LOD,biological_all,Phenols,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analyte,biological_all,Phenols,text,Analyte Name,"TCS, BPA, TCC, 25-DCP, M-PB, E-PB, BPF, 24-DCP, P-PB, BP-3, B-PB, BPS",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analyte_full,biological_all,Phenols,text,Full Analyte Name,"Butyl Paraben, Propyl Paraben, Methyl Paraben, triclocarban, 2 5-dichlorophenol, bisphenol F, Ethyl Paraben, triclosan, bisphenol A, benzophenone-3, bisphenol S, 2 4-dichlorophenol",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
date_analyzed,biological_all,Phenols,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analysis_source,biological_all,Phenols,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analysis_method,biological_all,Phenols,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
notes,biological_all,Phenols,text,Notes,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
batch,biological_all,Phenols,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
sample_type,biological_all,Phenols,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
studyid,biological_all,Phthalates,text,Participant ID,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
conc,biological_all,Phthalates,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
concunits,biological_all,Phthalates,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
BLOD,biological_all,Phthalates,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
LOD,biological_all,Phthalates,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analyte,biological_all,Phthalates,text,Analyte Name,"MIBP, MCOCH, MEHP, MEOHP, MCNP, MONP, MCPP, MNP, MCOP, MEHHTP, MBZP, MEP, MBP, MHBP, MECPTP, MEHHP, MHINCH, MHIBP, MECPP",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analyte_full,biological_all,Phthalates,text,Full Analyte Name,"Mono-isobutyl phthalate, mono-2-ethyl-5-hydrohexyl terephthalate, Mono carboxyisononyl phthalate, Monoethyl phthalate, Mono-3-carboxypropyl phthalate, Monooxononyl phthalate, 
Mono-2-ethyl-5-carboxypentyl phthalate, Mono-isononyl phthalate, Monobenzyl phthalate, Mono-hydroxybutyl phthalate, Mono-n-butyl phthalate, Mono-2-ethylhexyl phthalate, Mono-2-ethyl-5-oxohexyl phthalate, Mono-hydroxyisobutyl phthalate, Mono-2-ethyl-5-hydroxyhexyl phthalate, cyclohexane-1 2-dicarboxylic acid monocarboxyisooctyl ester, mono-2-ethyl-5-carboxypentyl terephthalate, Cyclohexane-1 2-dicarboxylic acid monohydroxy isononyl ester, Mono carboxyisooctyl phthalate",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
date_analyzed,biological_all,Phthalates,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analysis_source,biological_all,Phthalates,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analysis_method,biological_all,Phthalates,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
notes,biological_all,Phthalates,text,Notes,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
batch,biological_all,Phthalates,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
sample_type,biological_all,Phthalates,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
studyid,biological_all,Phthalates,text,Participant ID,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
conc,biological_all,Phthalates,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
concunits,biological_all,Phthalates,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
BLOD,biological_all,Phthalates,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
LOD,biological_all,Phthalates,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analyte,biological_all,Phthalates,text,Analyte Name,"MIBP, MCOCH, MEHP, MEOHP, MCNP, MONP, MCPP, MNP, MCOP, MEHHTP, MBZP, MEP, MBP, MHBP, MECPTP, MEHHP, MHINCH, MHIBP, MECPP",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analyte_full,biological_all,Phthalates,text,Full Analyte Name,"Mono-isobutyl phthalate, mono-2-ethyl-5-hydrohexyl terephthalate, Mono carboxyisononyl phthalate, Monoethyl phthalate, Mono-3-carboxypropyl phthalate, Monooxononyl phthalate, 
Mono-2-ethyl-5-carboxypentyl phthalate, Mono-isononyl phthalate, Monobenzyl phthalate, Mono-hydroxybutyl phthalate, Mono-n-butyl phthalate, Mono-2-ethylhexyl phthalate, Mono-2-ethyl-5-oxohexyl phthalate, Mono-hydroxyisobutyl phthalate, Mono-2-ethyl-5-hydroxyhexyl phthalate, cyclohexane-1 2-dicarboxylic acid monocarboxyisooctyl ester, mono-2-ethyl-5-carboxypentyl terephthalate, Cyclohexane-1 2-dicarboxylic acid monohydroxy isononyl ester, Mono carboxyisooctyl phthalate",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
date_analyzed,biological_all,Phthalates,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analysis_source,biological_all,Phthalates,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analysis_method,biological_all,Phthalates,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
notes,biological_all,Phthalates,text,Notes,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
batch,biological_all,Phthalates,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
sample_type,biological_all,Phthalates,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
studyid,biological_all,Phthalates,text,Participant ID,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
conc,biological_all,Phthalates,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
concunits,biological_all,Phthalates,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
BLOD,biological_all,Phthalates,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
LOD,biological_all,Phthalates,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analyte,biological_all,Phthalates,text,Analyte Name,"MIBP, MCOCH, MEHP, MEOHP, MCNP, MONP, MCPP, MNP, MCOP, MEHHTP, MBZP, MEP, MBP, MHBP, MECPTP, MEHHP, MHINCH, MHIBP, MECPP",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analyte_full,biological_all,Phthalates,text,Full Analyte Name,"Mono-isobutyl phthalate, mono-2-ethyl-5-hydrohexyl terephthalate, Mono carboxyisononyl phthalate, Monoethyl phthalate, Mono-3-carboxypropyl phthalate, Monooxononyl phthalate, 
Mono-2-ethyl-5-carboxypentyl phthalate, Mono-isononyl phthalate, Monobenzyl phthalate, Mono-hydroxybutyl phthalate, Mono-n-butyl phthalate, Mono-2-ethylhexyl phthalate, Mono-2-ethyl-5-oxohexyl phthalate, Mono-hydroxyisobutyl phthalate, Mono-2-ethyl-5-hydroxyhexyl phthalate, cyclohexane-1 2-dicarboxylic acid monocarboxyisooctyl ester, mono-2-ethyl-5-carboxypentyl terephthalate, Cyclohexane-1 2-dicarboxylic acid monohydroxy isononyl ester, Mono carboxyisooctyl phthalate",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
date_analyzed,biological_all,Phthalates,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analysis_source,biological_all,Phthalates,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analysis_method,biological_all,Phthalates,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
notes,biological_all,Phthalates,text,Notes,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
batch,biological_all,Phthalates,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
sample_type,biological_all,Phthalates,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
studyid,biological_all,Phthalates,text,Participant ID,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
conc,biological_all,Phthalates,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
concunits,biological_all,Phthalates,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
BLOD,biological_all,Phthalates,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
LOD,biological_all,Phthalates,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analyte,biological_all,Phthalates,text,Analyte Name,"MIBP, MCOCH, MEHP, MEOHP, MCNP, MONP, MCPP, MNP, MCOP, MEHHTP, MBZP, MEP, MBP, MHBP, MECPTP, MEHHP, MHINCH, MHIBP, MECPP",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analyte_full,biological_all,Phthalates,text,Full Analyte Name,"Mono-isobutyl phthalate, mono-2-ethyl-5-hydrohexyl terephthalate, Mono carboxyisononyl phthalate, Monoethyl phthalate, Mono-3-carboxypropyl phthalate, Monooxononyl phthalate, 
Mono-2-ethyl-5-carboxypentyl phthalate, Mono-isononyl phthalate, Monobenzyl phthalate, Mono-hydroxybutyl phthalate, Mono-n-butyl phthalate, Mono-2-ethylhexyl phthalate, Mono-2-ethyl-5-oxohexyl phthalate, Mono-hydroxyisobutyl phthalate, Mono-2-ethyl-5-hydroxyhexyl phthalate, cyclohexane-1 2-dicarboxylic acid monocarboxyisooctyl ester, mono-2-ethyl-5-carboxypentyl terephthalate, Cyclohexane-1 2-dicarboxylic acid monohydroxy isononyl ester, Mono carboxyisooctyl phthalate",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
date_analyzed,biological_all,Phthalates,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analysis_source,biological_all,Phthalates,text,Source of the Data,"1, CDC",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analysis_method,biological_all,Phthalates,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
notes,biological_all,Phthalates,text,Notes,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
batch,biological_all,Phthalates,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
sample_type,biological_all,Phthalates,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
studyid,biological_all,Metal_Urine,text,Participant ID,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
conc,biological_all,Metal_Urine,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
concunits,biological_all,Metal_Urine,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
BLOD,biological_all,Metal_Urine,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
LOD,biological_all,Metal_Urine,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analyte,biological_all,Metal_Urine,text,Analyte Name,"1, Cd | 2, Ba | 3, Co | 4, Be | 5, Hg | 6, Pt | 7, U | 8, Cs | 9, Cu | 10, Ni | 11, Sn | 12, V | 13, Zn | 14, Pb | 15, Tl | 16, As | 17, Mo | 18, Sb | 19, W | 20, Cr | 21, Mn | 22, Se",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analyte_full,biological_all,Metal_Urine,text,Full Analyte Name,"1, Cadmium | 2, Barium | 3, Cobalt | 4, Beryllium | 5, Mercury | 6, Platinum | 7, Uranium | 8, Cesium | 9, Copper | 10, Nickel | 11, Tin | 12, Vanadium | 13, Zinc | 14, Lead | 15, Thallium | 16, Arsenic | 17, Molybdenum | 18, Antimony | 19, Tungsten | 20, Chromium | 21, Manganese | 22, Selenium",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
date_analyzed,biological_all,Metal_Urine,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analysis_source,biological_all,Metal_Urine,text,Source of the Data,"1, NSF",,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
analysis_method,biological_all,Metal_Urine,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
notes,biological_all,Metal_Urine,text,Notes,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
batch,biological_all,Metal_Urine,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
sample_type,biological_all,Metal_Urine,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
studyid,biological_all,Metal_Urine,text,Participant ID,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
conc,biological_all,Metal_Urine,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
concunits,biological_all,Metal_Urine,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
BLOD,biological_all,Metal_Urine,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
LOD,biological_all,Metal_Urine,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analyte,biological_all,Metal_Urine,text,Analyte Name,"1, Cd | 2, Ba | 3, Co | 4, Be | 5, Hg | 6, Pt | 7, U | 8, Cs | 9, Cu | 10, Ni | 11, Sn | 12, V | 13, Zn | 14, Pb | 15, Tl | 16, As | 17, Mo | 18, Sb | 19, W | 20, Cr | 21, Mn | 22, Se",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analyte_full,biological_all,Metal_Urine,text,Full Analyte Name,"1, Cadmium | 2, Barium | 3, Cobalt | 4, Beryllium | 5, Mercury | 6, Platinum | 7, Uranium | 8, Cesium | 9, Copper | 10, Nickel | 11, Tin | 12, Vanadium | 13, Zinc | 14, Lead | 15, Thallium | 16, Arsenic | 17, Molybdenum | 18, Antimony | 19, Tungsten | 20, Chromium | 21, Manganese | 22, Selenium",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
date_analyzed,biological_all,Metal_Urine,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analysis_source,biological_all,Metal_Urine,text,Source of the Data,"1, NSF",,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
analysis_method,biological_all,Metal_Urine,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
notes,biological_all,Metal_Urine,text,Notes,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
batch,biological_all,Metal_Urine,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
sample_type,biological_all,Metal_Urine,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V2 (In Home Visit),2
studyid,biological_all,Metal_Urine,text,Participant ID,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
conc,biological_all,Metal_Urine,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
