Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Type
studyid,initial_screening,Unlabelled,text,Numero de identificacion,,,,,,,,,,,,,,Human Subject Data
isstarttime,initial_screening,Unlabelled,text,Hora de inicio             ,,Hora Militar (hh:mm) (1:00pm = 13:00),time,12:01:00 AM,11:59:00 PM,,,,,,,,,Human Subject Data
isdate,initial_screening,Unlabelled,text,Fecha del cernimiento,,MM-DD-YYYY,date_mdy,,,,,,,,,,,Human Subject Data
interviewer,initial_screening,Unlabelled,radio,�Quien hace la entrevista?,"1, Camille Rivera | 2, Dalitza Ram�n | 3, Liza Anzalota | 4, Marilyn Alicea | 5, Janisse Cabrera | 6, Abigail Figueroa| 7, Another Interviewer",,,,,,,,,,,,,Human Subject Data
isotherinterviewer,initial_screening,Unlabelled,text,Nombre del Entrevistador,,,,,,,[interviewer]='7',,,,,,,Human Subject Data
interest,initial_screening,Unlabelled,radio,�Le Interesar�a saber m�s sobre este estudio y considerar�a participar?,"1, S�  | 0, No",,,,,,,,,,,,,Human Subject Data
nonpartage,initial_screening,Unlabelled,text,Edad del No-Participante,,Hasta 2 d�gitos,number,18,40,,[interest] = '0',y,,,,,,Human Subject Data
nonpartcity,initial_screening,Unlabelled,text,Ciudad del No-Participante,,35 Letras,,,,,[interest] = '0',,,,,,,Human Subject Data
isfirstname,initial_screening,Unlabelled,text,Primer Nombre,,35 Letras,,,,y,[interest] = '1',y,,,,,,Human Subject Data
ismidname,initial_screening,Unlabelled,text,Segundo Nombre,,35 Letras,,,,y,[interest] = '1',y,,,,,,Human Subject Data
islastname,initial_screening,Unlabelled,text,Apellido Paterno,,35 Letras,,,,y,[interest] = '1',y,,,,,,Human Subject Data
is2lastname,initial_screening,Unlabelled,text,Apellido Materno,,35 Letras,,,,y,[interest] = '1',y,,,,,,Human Subject Data
isage,initial_screening,Unlabelled,text,�Que edad tiene actualmente?,,Edad en a�os,,,,,[interest] = '1',y,,,,,,Human Subject Data
